title,year,category,youtubeUrl,isPublic
Magic Gurl Visualizer,2024,Music Videos,https://www.youtube.com/watch?v=Cui24x54hus,yes
Not Again Visualizer,2024,Music Videos,https://www.youtube.com/watch?v=AjwLfTJNNvU,yes
Cooking Sausage Pesto Pasta in The Woods Alone | ASMR Campfire Cooking,2026,Short Films,https://youtu.be/V7Aur4vZrJg,yes
The Real Portugal Vlog,2025,Restricted,https://youtu.be/jKB-bfTDqWY,yes
How to Make KD and Lunch Meat,2026,Home Movies,https://youtu.be/rfUgBGWTipE,yes
Getting a haircut at the top of a mountain,2025,Home Movies,https://youtu.be/hnZ9tGCq9Zg,yes
We Wrote 100 Songs in 100 Days,2022,Documentary,https://youtu.be/lcRrgDMMsbg,yes
2025-04-26 - Lucas and Fabienne�s Wedding,2025,Home Movies,https://youtu.be/xnRaFwac2HQ,yes
how to cover love story by taylor swift,2023,Documentary,https://youtu.be/oyPMsc7cfFg,yes
summer 2023 on super 8,2023,Art Films,https://youtu.be/rLpYrdtRBDs,yes
Max & Jonny - Slippin' Away (Official Music Video),2020,Music Videos,https://youtu.be/jdGl8ePVTaw,yes
Hamlet Act 1 Scene 5,2018,High School Projects,https://youtu.be/fYNOlc34W28,yes
Senioritis,2019,Restricted,https://youtu.be/SQ6KHFh_L9g,yes
VELD 2019,2019,Restricted,https://youtu.be/jfETeHWV0UM,yes
2017's March Break.TXT,2017,Restricted,https://youtu.be/sSlcSCA1E2w,yes
New Year Will Be Just fine.exe,2019,Restricted,https://youtu.be/48nazHSHBDY,yes
Goose Fur Weekend.jpg,2017,Restricted,https://youtu.be/azmlERInW5g,yes
BIG SUMMER.MKV,2018,Restricted,https://youtu.be/RCnb_vEASew,yes
Schoolfeeling.jpg,2018,High School Projects,https://youtu.be/agQMv-TJfIs,yes
Locally Developed - Town Square (Official Music Video),2018,Music Videos,https://www.youtube.com/watch?v=diqgnkhn22E,yes
Locally Developed - Dime,2018,Music Videos,https://www.youtube.com/watch?v=ko2fmqRj0eU,yes
Locally Developed - Dead Weight - Official Music Video,2019,Music Videos,https://www.youtube.com/watch?v=bfPL3AWJTvA,yes
RED - Locally Developed Live at the Boat,2018,Live Performance,https://www.youtube.com/watch?v=pJBAr_5KjOQ,yes
Locally Developed - Falls Realities Live at the Boat,2018,Live Performance,https://www.youtube.com/watch?v=IjGnleuUWq0,yes
Cottage rip 2021,2021,Restricted,https://youtu.be/er4jX9CxEGU,yes
The Last Rip,2019,Restricted,https://youtu.be/hyBnSm1pYQ4,yes
Smirnoff Spring,2018,Restricted,https://youtu.be/_gQIt2Gn7Qc,yes
Fireball Fall,2018,Restricted,https://youtu.be/P6Sr-FAZinU,yes
Always Striving and Prospering,2019,Restricted,https://youtu.be/LBA8TEZKG-w,yes
Online Bystanders - Cyber Bullying PSA,2017,Short Films,https://youtu.be/xveIj7M6Uw4,yes
Pinery 2K14,2014,Home Movies,https://youtu.be/IZysJZ6MSCg,yes
Zodiac Stars 2014,2014,Home Movies,https://youtu.be/wOpQcRI4ADk,yes
La nouvelle maitresse: Chanson video,2014,School Projects,https://youtu.be/8veeiTfK6dA,yes
